"identifier","name","count","bin","frequency"
"tripvs","triol metabolite of pravastatin","6","6","131"
"HC02195","tauroursodeoxycholate","6","6","131"
"HC02196","glycoursodeoxycholate","6","6","131"
"4ppcys","N-[(R)-4-phosphonatopantothenoyl]-L-cysteinate(3-)","6","6","131"
"HC02198","taurolithocholic acid sulfate(2-)","6","6","131"
"CE5944","10,11-dihydro-12-oxo-LTB4","6","6","131"
"pristanal","pristanal","6","6","131"
"e4hglu","erythro-4-hydroxy-L-glutamate(1-)","6","6","131"
"C04308","phosphatidyl-N,N-dimethylethanolamine","6","6","131"
"tethex3coa","(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA(4-)","6","6","131"
"25hvitd2","25-Hydroxyvitamin D2","6","6","131"
"HC02208","prostaglandin D1","6","6","131"
"HC02210","prostaglandin D3","6","6","131"
"HC02214","prostaglandin F1alpha","6","6","131"
"HC02216","prostaglandin F2beta","6","6","131"
"HC02217","prostaglandin G2","6","6","131"
"CE5969","10,11-dihydro-LTB4-CoA","6","6","131"
"gua","guanine","6","6","131"
"thmmp","thiamine(1+) monophosphate(2-)","6","6","131"
"dsmsterol","desmosterol","6","6","131"
"L2aadp6sa","L-allysine","6","6","131"
"L2aadp","L-2-aminoadipate(1-)","6","6","131"
"L_dpchrm","L-dopachromate","6","6","131"
"CE6182","20-CoA-20-oxo-leukotriene B4","6","6","131"
"3sala","3-sulfino-L-alanine(1-)","6","6","131"
"am4n9cs","AM4N9 (cyclosporine)","6","6","131"
"Lkynr","L-kynurenine","6","6","131"
"N1aspmd","N(1)-acetylspermidinium(2+)","6","6","131"
"am1acs","AM1A (cyclosporine)","6","6","131"
"dopaqn","L-dopaquinone","6","6","131"
"strdnc","all-cis-octadeca-6,9,12,15-tetraenoic acid","6","6","131"
"CE2084","5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid","6","6","131"
"g1m8masn","(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","6","6","131"
"ibcoa","isobutyryl-CoA(4-)","6","6","131"
"pppi","triphosphate(5-)","6","6","131"
"m7masnA","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)","6","6","131"
"lst4exp","Losartan-E3174/ losartan-M6","6","6","131"
"vitd3","calciol","6","6","131"
"C13856","2-arachidonoylglycerol","6","6","131"
"CE2053","20-oxoleukotriene B4","6","6","131"
"CE2049","12,13-hydroxyoctadec-9(Z)-enoate","6","6","131"
"CE2047","9,10-hydroxyoctadec-12(Z)-enoate","6","6","131"
"acetone","acetone","6","6","131"
"C05298","2-hydroxyestrone","6","6","131"
"pmtcrn","O-palmitoyl-L-carnitine","6","6","131"
"sebcoa","sebacoylcoa","6","6","131"
"oxyp","oxypurinol","6","6","131"
"CE2011","hypothiocyanite","6","6","131"
"formcoa","formyl-CoA(4-)","6","6","131"
"34hpp","3-(4-hydroxyphenyl)pyruvate","6","6","131"
"phytcoa","phytanoyl-CoA(4-)","6","6","131"
"dca","decanoate","6","6","131"
"7dhf","heptaglutamyl folate (DHF)","6","6","131"
"pheme","ferroheme b","6","6","131"
"sbcoa","suberylcoa","6","6","131"
"CE5342","5-oxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA","6","6","131"
"7thf","heptaglutamyl folate (THF)","6","6","131"
"tetpent3coa","(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA","6","6","131"
"7bhglz","7-beta-OH-gliclazide","6","6","131"
"malttr","alpha-maltotriose","6","6","131"
"3aib_D","(R)-3-aminoisobutyric acid","6","6","131"
"CE1943","spermidine dialdehyde","6","6","131"
"adpcoa","adipoyl-CoA","6","6","131"
"thm","thiamine(1+)","6","6","131"
"adprib","ADP-D-ribose(2-)","6","6","131"
"man6p","D-mannose 6-phosphate","6","6","131"
"c163_4Z_7Z_10Zcoa","M_c163_4Z_7Z_10Zcoa","6","6","131"
"dnad","deamido-NAD(+)","6","6","131"
"Asn_X_Ser_Thr","protein-linked asparagine residue (N-glycosylation site)","6","6","131"
"CE5348","5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA","6","6","131"
"CE5349","5-oxo-6E-12-epi-leukotriene B4","6","6","131"
"5hoxindact","(5-hydroxyindol-3-yl)acetaldehyde","6","6","131"
"CE2432","trans-2-cis,cis-5,8-tetradecatrienoyl-CoA","6","6","131"
"dmnoncrn","O-(4,8-dimethylnonanoyl)carnitine","6","6","131"
"am1c9cs","AM1c9 (cyclosporine)","6","6","131"
"am19cs","AM19 (cyclosporine)","6","6","131"
"retfa","fatty acid retinol","6","6","131"
"mi145p","1D-myo-inositol 1,4,5-trisphosphate(6-)","6","6","131"
"mi14p","1D-myo-inositol 1,4-bisphosphate(4-)","6","6","131"
"am1alcs","AM1AL (cyclosporine)","6","6","131"
"CE3038","3beta,7alpha-dihydroxy-5-cholestenoate","6","6","131"
"minohp","myo-inositol hexakisphosphate(12-)","6","6","131"
"mmcoa_S","(S)-methylmalonyl-CoA(5-)","6","6","131"
"acmpglut","acetaminophen glutathione conjugate","6","6","131"
"1531tacr","15, 31-O-Didesmethyl-tacrolimus","6","6","131"
"mhglz","Methyl-hydroxy-gliclazide","6","6","131"
"am4ncs","AM4N (cyclosporine)","6","6","131"
"crvsm24","cerivastatin-M24","6","6","131"
"5htrp","5-hydroxy-L-tryptophan","6","6","131"
"12HPET","12(S)-HPETE(1-)","6","6","131"
"glyc_R","D-glycerate","6","6","131"
"digalside_hs","Digalactosylceramide","6","6","131"
"nac","nicotinic acid","6","6","131"
"CE2433","trans,cis,cis-2,7,10-hexadecatrienoyl-CoA","6","6","131"
"avite1","(+)-alpha-tocopherol","6","6","131"
"avite2","alpha-tocotrienol","6","6","131"
"glutcoa","glutaryl-CoA(5-)","6","6","131"
"whhdca","16-hydroxypalmitate","6","6","131"
"4ohmdz","4-OH-midazolam","6","6","131"
"3aap","3-acetamidopropanal","6","6","131"
"sphgn","sphinganine(1+)","6","6","131"
"dhcholoylcoa","3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA","6","6","131"
"lald_D","(R)-lactaldehyde","6","6","131"
"10fthf7glu","10-formyltetrahydrofolate-[Glu](7)","6","6","131"
"2mb2coa","2-methylcrotonoyl-CoA(4-)","6","6","131"
"xoldiolone","7alpha,12alpha-dihydroxycholest-4-en-3-one","6","6","131"
"1331tacr","13,31-O-Didesmethyl-tacrolimus","6","6","131"
"c12dccoa","dodecanedioylcoa","6","6","131"
"ptdcacoa","pentadecanoyl Coenzyme A","6","6","131"
"dhbpt","6,7-dihydrobiopterin","6","6","131"
"5ohfvs","5-hydroxy-fluvastatin","6","6","131"
"1513tacr","13,15-O-didesmethyl tacrolimus","6","6","131"
"carn","carnosine","6","6","131"
"6bhglz","6-beta-OH-gliclazide","6","6","131"
"C02470","Xanthurenic acid","6","6","131"
"cdpdag_hs","CDP-diacylglycerol(2-)","6","6","131"
"1ohmdz","1'-OH-midazolam","6","6","131"
"no2","nitrite","6","6","131"
"C06315","lipoxin B4","6","6","131"
"estradiolglc","17beta-estradiol 3-glucosiduronic acid","6","6","131"
"15HPET","15(S)-HPETE(1-)","6","6","131"
"CE5971","3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA","5","5","193"
"12htacr","12-HT or M-VI, 12-hydroxy tacrolimus","5","5","193"
"CE1102","cis-(3S)-hydroxytetradec-7-enoyl-CoA","5","5","193"
"chsterols","cholesterol sulfate","5","5","193"
"camp","3',5'-cyclic AMP(1-)","5","5","193"
"ca2","calcium(2+)","5","5","193"
"c10crn","O-decanoylcarnitine","5","5","193"
"CE0853","3-oxopalmitoleoyl-CoA","5","5","193"
"3m4hpga","3-Methoxy-4-hydroxyphenylglycolaldehyde","5","5","193"
"3mb2coa","3-methylbut-2-enoyl-CoA(4-)","5","5","193"
"xylt","xylitol","5","5","193"
"CE0785","cis,cis-myristo-5,8-dienoyl-CoA","5","5","193"
"zymst","zymosterol","5","5","193"
"asp_D","D-aspartate(1-)","5","5","193"
"tmdm1","Torasemide-M1","5","5","193"
"CE0782","3-oxomyrist-7-enoyl-CoA","5","5","193"
"n2m2nmasn","N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R","5","5","193"
"orot","orotate","5","5","193"
"pac","phenylacetate","5","5","193"
"CE0713","3-oxolinoleoyl-CoA","5","5","193"
"crtstrn","corticosterone","5","5","193"
"CE0693","3-oxolaur-6-cis-enoyl-CoA","5","5","193"
"pacald","phenylacetaldehyde","5","5","193"
"paf_hs","2-acetyl-1-alkyl-sn-glycero-3-phosphocholine","5","5","193"
"anth","anthranilate","5","5","193"
"CE1925","3-carboxy-alpha-chromanol","5","5","193"
"andrstandn","5alpha-androstane-3,17-dione","5","5","193"
"CE1926","gama-carboxyethyl-hydroxychroman","5","5","193"
"tddedicoa","(3Z,6Z)-dodecadienoyl-CoA(4-)","5","5","193"
"mev_R","(R)-mevalonate","5","5","193"
"mercppyr","3-mercaptopyruvate","5","5","193"
"lstnm7","Losartan-N2-glucuronide / Losartan-M7","5","5","193"
"melatn","melatonin","5","5","193"
"adrn","all-cis-docosa-7,10,13,16-tetraenoic acid","5","5","193"
"man1p","D-mannose 1-phosphate","5","5","193"
"maltttr","maltotetraose","5","5","193"
"CE1950","cyanosulfurous acid anion","5","5","193"
"cspg_e","chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan","5","5","193"
"maltpt","alpha-maltopentaose","5","5","193"
"cyan","hydrogen cyanide","5","5","193"
"cynt","cyanate","5","5","193"
"epoxtac","31-O-Desmethyl,19-Hydroxy,37, 39-Epoxy-tacrolimus","5","5","193"
"cysam","cysteaminium","5","5","193"
"malthx","alpha-maltohexaose","5","5","193"
"CE0347","12-hydroxyeicosatetraenoate","5","5","193"
"acmpglu","Acetaminophen glucuronide","5","5","193"
"damp","dAMP(2-)","5","5","193"
"CE2417","3(S)-hydroxy-5Z,8Z-tetradecadienoyl-CoA","5","5","193"
"allop","allopurinol","5","5","193"
"phyt","phytanate","5","5","193"
"CE2056","20-dihydroxyleukotriene B4","5","5","193"
"Tyr_ggn","Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis)","5","5","193"
"m8masn","(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","5","5","193"
"T_antigen","T antigen (core 1)","5","5","193"
"pre_prot","acyl-GPI","5","5","193"
"ddeccrn","O-lauroyl-L-carnitine","5","5","193"
"m2mn","(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine","5","5","193"
"prgnlones","pregnenolone sulfate","5","5","193"
"Lcyst","L-cysteate(1-)","5","5","193"
"HC02220","sulfochenodeoxycholate","5","5","193"
"4bhglz","4-beta-OH-gliclazide","5","5","193"
"HC02197","sulfoglycolithocholate(2-)","5","5","193"
"HC02194","ursodeoxycholate","5","5","193"
"pro_D","D-proline","5","5","193"
"c81coa","trans-oct-2-enoyl-CoA","5","5","193"
"lthstrl","5alpha-cholest-7-en-3beta-ol","5","5","193"
"2mbcoa","2-methylbutanoyl-CoA(4-)","5","5","193"
"HC00591","2-oxoglutaramate","5","5","193"
"7bhglzglc","7-beta-OH-gliclazide-glucuronide","5","5","193"
"CN0022","7,12-Dimethylbenz[a]anthracene-3,4-diol","5","5","193"
"CN0021","7,12-Dimethylbenz[a]anthracene-3,4-oxide","5","5","193"
"CN0018","Dibenzo[a,l]pyrene-11,12-diol","5","5","193"
"CN0017","Dibenzo[a,l]pyrene-11,12-epoxide","5","5","193"
"CN0012","Benzo[a]pyrene-2,3-oxide","5","5","193"
"tdechola","taurodeoxycholate","5","5","193"
"pydam","pyridoxaminium(1+)","5","5","193"
"6hlvst","6'-beta-hydroxy-lovastatin lactone form","5","5","193"
"6melvst","6'-exomethylene-lovastatin lactone form","5","5","193"
"ditp","dITP(4-)","5","5","193"
"pydxn","pyridoxine","5","5","193"
"CE7109","5(S),6(S)-epoxy-15(R)-HEPE","5","5","193"
"3ohodcoa","3-oxooctadecanoyl-CoA","5","5","193"
"dmhptcrn","2,6 dimethylheptanoyl carnitine","5","5","193"
"6melvacid","6'-exomethylene-lovastatin-acid form","5","5","193"
"7ahglz","7-alpha-OH-gliclazide","5","5","193"
"dmpp","prenyl diphosphate(3-)","5","5","193"
"rib_D","D-ribose","5","5","193"
"s2l2fn2m2masn","PA6","5","5","193"
"6bhglzglc","6-beta-OH-gliclazide-glucuronide","5","5","193"
"selmeth","selenomethionine","5","5","193"
"6ahglz","6-alpha-OH-gliclazide","5","5","193"
"CE6187","20-CoA-20-oxo-18R-hydroxyleucotriene B4","5","5","193"
"CE6184","18-CoA-18-oxo-dinorleukotriene B4","5","5","193"
"CE6183","18,20-dioxo-20-CoA-leukotriene B4","5","5","193"
"6epvs","6-epipravastatin","5","5","193"
"2amac","2-aminoacrylic acid","5","5","193"
"nrvnc","(15Z)-tetracosenoate","5","5","193"
"lipoate","lipoate","5","5","193"
"CE5967","3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA","5","5","193"
"CE5966","3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA","5","5","193"
"pvsgluc","pravastatin glucuronide","5","5","193"
"56dhpvs","3-keto-5,6,-dihydroxy-pravastatin","5","5","193"
"56eppvs","5,6-epoxy-3-alpha-iso-pravastatin","5","5","193"
"7hpvs","7-hydroxy-3-alpha-iso-pravastatin","5","5","193"
"elaidcrn","(9E)-octadec-9-enoylcarnitine","5","5","193"
"em2emgacpail_hs","(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (H7)","5","5","193"
"35dhpvs","3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin","5","5","193"
"3hpvscoa","3'-S-hydroxy-pravastatin-CoA","5","5","193"
"3hpvstetcoa","3'-S-hydroxy-pravastatin-tetranor-CoA","5","5","193"
"CE5854","gama-CEHC-glucuronide","5","5","193"
"CE5853","alpha-CEHC-glucuronide","5","5","193"
"tlacfvs","trans-lactone-fluvastatin","5","5","193"
"CE5786","kinetensin","5","5","193"
"CE5653","4-oxo-9-cis-retinoate","5","5","193"
"2425dhvitd2","24R,25-Dihyoxyvitamin D2","5","5","193"
"23doguln","2,3-diketogulonate","5","5","193"
"CE5346","3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA","5","5","193"
"9_cis_retfa","fatty acid 9-cis-retinol","5","5","193"
"CE5345","3,5-dioxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA","5","5","193"
"fe3","iron(3+)","5","5","193"
"ficytC","ferricytochrome c","5","5","193"
"CE5344","3(S),12(R)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA","5","5","193"
"ksii_core2_deg5","keratan sulfate II (core 2-linked), degradation product 5","5","5","193"
"focytC","ferrocytochrome c","5","5","193"
"crglz","carboxy-gliclazide","5","5","193"
"CE5337","3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA","5","5","193"
"CE5331","3,5-dioxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA","5","5","193"
"7dhchsterol","cholesta-5,7-dien-3beta-ol","5","5","193"
"6pthp","dyspropterin","5","5","193"
"CE5329","3(S),12(S)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA","5","5","193"
"ksi","keratan sulfate I","5","5","193"
"6pgl","6-O-phosphonato-D-glucono-1,5-lactone(2-)","5","5","193"
"rsvlac","rosuvastatin-5S-lactone","5","5","193"
"CE5276","dopamine o-quinone","5","5","193"
"ptvstlac","pitavastatin-lactone","5","5","193"
"3ohacmp","3-hydroxy-acetaminophen","5","5","193"
"6pgc","6-phosphonatooxy-D-gluconate","5","5","193"
"CE5251","estrone-3,4-quinone","5","5","193"
"gal14acglcgalgluside_hs","beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide","5","5","193"
"CE5249","17beta-estradiol-3,4-quinone","5","5","193"
"CE5168","24(R),25(R)-varanoyl-CoA","5","5","193"
"5tedtricoa","5,8,11-tetradecatrienoylcoa","5","5","193"
"tag_hs","triglyceride","5","5","193"
"CE5155","cis-13-docosenoyl-CoA","5","5","193"
"gam","D-glucosamine","5","5","193"
"CE5151","11-cis-eicosenoyl-CoA","5","5","193"
"gcald","glycolaldehyde","5","5","193"
"CE5139","12-oxo-20-dihydroxy-leukotriene B4","5","5","193"
"4hexdtetcoa","4,7,10,13-hexadecatetraenoylcoa","5","5","193"
"gd3_hs","alpha-N-acetylneuraminosyl-(2->8)-alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1')-ceramide","5","5","193"
"5mta","5'-S-methyl-5'-thioadenosine","5","5","193"
"4hexdtricoa","4,7,10-hexadecatrienoylcoa","5","5","193"
"1a25dhvitd3","calcitriol","5","5","193"
"cysacmp","cysteine-conjugate-acetaminophen","5","5","193"
"c142_5Z_8Zcoa","M_c142_5Z_8Zcoa","5","5","193"
"glac","D-glucurono-6,3-lactone","5","5","193"
"ttdcrn","O-tetradecanoyl-L-carnitine","5","5","193"
"xol7ah3","5beta-cholestane-3alpha,7alpha,26-triol","5","5","193"
"txa2","thromboxane A2(1-)","5","5","193"
"CE4881","nitryl chloride","5","5","193"
"tettet6coa","tetracosatetraenoyl coenzyme A","5","5","193"
"tetpent3","(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoate","5","5","193"
"c143_5Z_8Z_11Zcoa","M_c143_5Z_8Z_11Zcoa","5","5","193"
"CE4829","Adrenoyl-CoA","5","5","193"
"14hmdz","1,4-Dihydroxy-midazolam","5","5","193"
"CE4795","2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA","5","5","193"
"tsul","thiosulfate(2-)","5","5","193"
"5fthf","(6S)-5-formyltetrahydrofolate(2-)","5","5","193"
"CE2872","3,5-diiodo-L-thyronine","5","5","193"
"13_cis_retnglc","1-O-all-trans-retinoyl-beta-glucuronic acid","5","5","193"
"CE2597","3(S)-3-hydroxydodecen-(5Z)-oyl-CoA","5","5","193"
"CE2592","(S)-3-hydroxypalmitoleoyl-CoA","5","5","193"
"11docrtstrn","11-deoxycorticosterone","5","5","193"
"11_cis_retfa","fatty acid 11-cis-retinol","5","5","193"
"4mptnl","4-methylpentanal","5","5","193"
"CE2424","3-oxo-cis,cis-5,8-tetradecadienoyl-CoA","5","5","193"
"CE2422","3-oxo-cis,cis-7,10-hexadecadienoyl-CoA","5","5","193"
"4mzym_int2","3-dehydro-4-methylzymosterol","5","5","193"
"4nph","4-nitrophenolate","5","5","193"
"hexdicoa","hexadecanedioylcoa","5","5","193"
"5adtststerones","5alpha-Dihydrotestosterone sulfate","5","5","193"
"CE2421","(3S)-3-hydroxylinoleoyl-CoA","5","5","193"
"hexccoa","hexacosanoyl-CoA(4-)","5","5","193"
"gpi_hs","{[PE-Man-],[PE-]Man},{PE-}Man-GlcN-acylPI","5","5","193"
"gpi_sig","glycophosphatidylinositol (GPI) signal sequence (C-terminal peptide)","5","5","193"
"5HPET","5(S)-HPETE(1-)","5","5","193"
"hcys_L","L-homocysteine","5","5","193"
"56dthm","5,6-dihydrothymine","5","5","193"
"CE2420","(3S)-3-hydroxydodec-cis-6-enoyl-CoA","5","5","193"
"CE2418","(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA","5","5","193"
"guln","L-gulonate","5","5","193"
"ha_pre1","3-(4-deoxy-beta-D-gluc-4-enosyluronic acid)-N-acetyl-D-glucosamine","5","5","193"
"HC00250","hydrosulfide","5","5","193"
"c12dc","dodecanedioyl carnitine","4","4","346"
"CE4841","3-oxoeicosa-cis,cis-11,14-dienoyl-CoA","4","4","346"
"oagt3_hs","9-O-Acetylated GT3","4","4","346"
"CE5341","5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA","4","4","346"
"c4dc","succinyl carnitine","4","4","346"
"oagd3_hs","9-O-Acetylated GD3","4","4","346"
"3hexdtetcoa","3,7,10,13-hexadecatetraenoylcoa","4","4","346"
"pyam5p","pyridoxamine 5'-phosphate(1-)","4","4","346"
"c6dc","adipoyl carnitine","4","4","346"
"3hexdtricoa","3,7,10-hexadecatrienoylcoa","4","4","346"
"c8dc","suberyl carnitine","4","4","346"
"CE4842","trans,cis,cis-2,11,14-eicosatrienoyl-CoA","4","4","346"
"CE4844","3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA","4","4","346"
"CE4845","3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA","4","4","346"
"CE4846","trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA","4","4","346"
"3hpcoa","3-hydroxypropanoyl-CoA(4-)","4","4","346"
"cbasp","N-carbamoyl-L-aspartate(2-)","4","4","346"
"xylu_L","L-xylulose","4","4","346"
"CE4848","3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA","4","4","346"
"no","nitric oxide","4","4","346"
"cdpchol","CDP-choline","4","4","346"
"CE5347","5-oxo-12(R)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA","4","4","346"
"cdpea","CDP-ethanolamine(1-)","4","4","346"
"CE2250","3-oxodocosanoyl-CoA","4","4","346"
"CE4850","3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA","4","4","346"
"chlstol","5alpha-cholesta-7,24-dien-3beta-ol","4","4","346"
"3hpp","3-hydroxypropionate","4","4","346"
"CE4851","3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA","4","4","346"
"CE5525","12-oxo-20-carboxy-leukotriene B4","4","4","346"
"CE4852","trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA","4","4","346"
"CE4853","trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA","4","4","346"
"HC00822","N,N'-diacetylchitobiose","4","4","346"
"CE5536","adrenochrome","4","4","346"
"HC00900","methylmalonic acid","4","4","346"
"chtn","chitin","4","4","346"
"psyl","psyllium","4","4","346"
"CE4854","all-cis-10,13,16,19-docosatetraenoyl-CoA","4","4","346"
"c184_3Z_6Z_9Z_12Zcoa","M_c184_3Z_6Z_9Z_12Zcoa","4","4","346"
"HC01231","N-[(R)-pantothenoyl]-L-cysteinate","4","4","346"
"csasulp","cyclosporine-sulphate","4","4","346"
"am1cglc","AM1c-glucuronide (cyclosporine)","4","4","346"
"CE2416","(2R,6S,10S)-pristanate","4","4","346"
"CE0849","cis,cis-palmito-7,10-dienoyl-CoA","4","4","346"
"caribupglu_S","S-carboxy ibuprofen glucuronide","4","4","346"
"HC01651","Formamidopyrimidine nucleoside triphosphate","4","4","346"
"HC01652","2,5-diamino-6-ribosylamino-4(3H)pyrimidinone 5'-triphosphate","4","4","346"
"CE0784","cis-myrist-7-enoyl-CoA","4","4","346"
"HC01668","Propinol adenylate","4","4","346"
"HC01710","2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine","4","4","346"
"xu5p_D","D-xylulose 5-phosphate(2-)","4","4","346"
"vacc","trans-vaccenate","4","4","346"
"core6","Core 6","4","4","346"
"prpncoa","acryloyl-CoA(4-)","4","4","346"
"CE2870","3,3-diiodo-L-thyronine 4-O-sulfate","4","4","346"
"2mp2coa","methacrylyl-CoA","4","4","346"
"n2m2masn","((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)","4","4","346"
"CE4888","5,6-dihydroxyindole","4","4","346"
"CE0695","cis-laur-5-enoyl-CoA","4","4","346"
"13dampp","trimethylenediaminium","4","4","346"
"2octdectecoa","2,6,9,12-octadecatetraenoylcoa","4","4","346"
"gtacmp","glucuronide-thiomethyl-acetaminophen conjugate","4","4","346"
"msa","3-oxopropanoate","4","4","346"
"CE5655","13-hydroxy-gama-tocopherol","4","4","346"
"3mox4hoxm","vanillylmandelate","4","4","346"
"thsacmp","thiomethyl-sulphoxide-conjugate-acetaminophen","4","4","346"
"3mox4hpac","(4-hydroxy-3-methoxyphenyl)acetaldehyde","4","4","346"
"vacccrn","(R)-oleoylcarnitine","4","4","346"
"cs_c_d_e_pre1","chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1","4","4","346"
"HC02112","NADH-redox-potential","4","4","346"
"HC02113","NADPH-redox-potential","4","4","346"
"cs_c_deg5","chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5","4","4","346"
"caribup_s","S-carboxy ibuprofen","4","4","346"
"mi134p","1D-myo-inositol 1,3,4-trisphosphate(6-)","4","4","346"
"mi1345p","1D-myo-inositol 1,3,4,5-tetrakisphosphate(8-)","4","4","346"
"CE2434","trans,cis,cis-2,9,12-octadecatrienoyl-CoA","4","4","346"
"thmtp","thiamine(1+) triphosphate(4-)","4","4","346"
"mescoa","mesaconyl-CoA","4","4","346"
"fvstetglu","des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide","4","4","346"
"6ohfvsglu","6-hydroxy-fluvastatin-glucuronide","4","4","346"
"mem2emgacpail_hs","({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)","4","4","346"
"5ohfvsglu","5-hydroxy-fluvastatin-glucuronide","4","4","346"
"CE4989","20-OH-10,11-dihydro-leukotriene B4","4","4","346"
"1hmdgluc","1'-OH-midazolam-glucuronide","4","4","346"
"tym","tyraminium","4","4","346"
"tmacmp","thiomethyl-conjugate-acetaminophen","4","4","346"
"cspg_a","chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan","4","4","346"
"cspg_b","chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan","4","4","346"
"cspg_c","chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan","4","4","346"
"cspg_d","chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan","4","4","346"
"deoxfvs","deoxy-fluvastatin-dinor","4","4","346"
"thcrm_hs","trihexosyl ceramide","4","4","346"
"CE2095","3-hydroxykynurenine-O-beta-D-glucoside","4","4","346"
"fvstet","des-isopropyl-dihydro-fluvastatin-tetranor","4","4","346"
"glc3meacp","glucuronide-conjugate of 3-methoxy-acetaminophen","4","4","346"
"desfvs","N-desisopropyl-fluvastatin","4","4","346"
"6ohfvs","6-hydroxy-fluvastatin","4","4","346"
"meracmp","acetaminophen-mercapturate-conjugate/N-acetyl-cysteine-acetaminophen","4","4","346"
"tsacmgluc","thiomethyl-sulphoxide-acetaminophen-glucuronide","4","4","346"
"3octdectecoa","3,6,9,12-octadecatetraenoylcoa","4","4","346"
"CE0074","alloxan","4","4","346"
"3odcoa","3-oxodecanoyl-CoA","4","4","346"
"CE5842","13-hydroxy-alpha-tocopherol","4","4","346"
"tethex3","(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoate","4","4","346"
"4hmdgluc","4-OH-midazolam-glucuronide","4","4","346"
"CE5114","trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA","4","4","346"
"vitd2","vitamin D2","4","4","346"
