identifier	name
R_DNDPt12m	dADP transport via ADP antiport
R_DNDPt13m	dADP transport via ATP antiport
R_DNDPt14m	dUDP transport via dTDP antiport
R_DNDPt15m	dUDP transport via dGDP antiport
R_DNDPt16m	dUDP transport via dADP antiport
R_DNDPt17m	dUDP transport via dCDP antiport
R_DNDPt18m	dUDP transport via ADP antiport
R_DNDPt19m	dUDP transport via ATP antiport
R_DNDPt1m	dATP transport via ADP antiport
R_DNDPt20m	dTDP transport via ATP antiport
R_DNDPt21m	dTDP transport via ADP antiport
R_DNDPt22m	dTDP transport via dUDP antiport
R_DNDPt23m	dTDP transport via dGTP antiport
R_DNDPt24m	dTDP transport via dADP antiport
R_DNDPt25m	dTDP transport via dCDP antiport
R_DNDPt26m	dCDP transport via dUDP antiport
R_DNDPt27m	dCDP transport via dTDP antiport
R_DNDPt28m	dCDP transport via dGDP antiport
R_DNDPt29m	dCDP transport via dADP antiport
R_DNDPt2m	dATP transport via ATP antiport
R_DNDPt30m	dCDP transport via ADP antiport
R_DNDPt31m	dCDP transport via ATP antiport
R_DNDPt32m	dGDP transport via ATP antiport
R_DNDPt33m	dGDP transport via dUDP antiport
R_DNDPt35m	dGDP transport via dADP antiport
R_DNDPt36m	dGDP transport via dCDP antiport
R_DNDPt37m	dUTP transport via dTDP antiport
R_DNDPt38m	dUTP transport via dUDP antiport
R_DNDPt39m	dUTP transport via dGDP antiport
R_DNDPt3m	dATP transport via dCDP antiport
R_DNDPt40m	dUTP transport via dADP antiport
R_DNDPt41m	dUTP transport via dCDP antiport
R_DNDPt42m	dUTP transport via ADP antiport
R_DNDPt43m	dUTP transport via ATP antiport
R_DNDPt44m	dTTP transport via ATP antiport
R_DNDPt45m	dTTP transport via ADP antiport
R_DNDPt46m	dTTP transport via dUDP antiport
R_DNDPt47m	dTTP transport via dTDP antiport
R_DNDPt48m	dTTP transport via dGDP antiport
R_DNDPt49m	dTTP transport via dADP antiport
R_DNDPt4m	dATP transport via dUDP antiport
R_DNDPt50m	dTTP transport via dCDP antiport
R_DNDPt51m	dCTP transport via dCDP antiport
R_DNDPt52m	dCTP transport via dUDP antiport
R_DNDPt53m	dCTP transport via dGDP antiport
R_DNDPt54m	dCTP transport via dADP antiport
R_DNDPt55m	dCTP transport via ADP antiport
R_DNDPt56m	dCTP transport via ATP antiport
R_DNDPt57m	dGTP transport via ATP antiport
R_DNDPt58m	dGTP transport via ADP antiport
R_DNDPt59m	dGTP transport via dADP antiport
R_DNDPt5m	dATP transport via dTDP antiport
R_DNDPt60m	dGTP transport via dUDP antiport
R_DNDPt61m	dGTP transport via dTDP antiport
R_DNDPt62m	dGTP transport via dGDP antiport
R_DNDPt63m	dGTP transport via dCDP antiport
R_DNDPt6m	dATP transport via dGDP antiport
R_DNDPt7m	dATP transport via dADP antiport
R_DNDPt8m	dADP transport via dUDP antiport
R_DOLASNT_Uer	Dolichyl-diphosphooligosaccharide:protein-L-asparagine oligopolysaccharidotransferase (uterus)
R_DOLDPP_Uer	Dolichyl-diphosphate phosphohydrolase, human (uterus)
R_DOLGPP_Uer	Dolichyl-beta-D-glucosyl-phosphate dolichylphosphohydrolase (uterus)
R_DOLICHOL_Uter	dolichol diffusion, human (uterus)
R_DOLK_U	Dolichol kinase, human (uterus)
R_DOLP_Uter	dolichol phosphate flippase (uterus)
R_DOLPGT1_Uer	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (uterus)
R_DOLPGT2_Uer	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (uterus)
R_DOLPGT3_Uer	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase (uterus)
R_DOLPH_Uer	Dolichol-phosphate phosphohydrolase, human (uterus)
R_DOLPMT_U	Dolichyl-phosphate D-mannosyltransferase (uterus)
R_DOLPMT1_Uer	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (uterus)
R_DOLPMT2_Uer	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (uterus)
R_DOLPMT3_Uer	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (uterus)
R_DOLPMT4_Uer	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (uterus)
R_DOPACHRMISO	L-dopachrome isomerase 1
R_DOPAMT	Dopamine:amet O-methyltransferase
R_DOPAQNISO1	Dopaquinone isomerase 1
R_DOPASULT	Dopamine Sulfotransferase
R_DORNOp	D-ornithine oxidase, perixosomal
R_DPCOAK	dephospho-CoA kinase
R_DPCOAtl	dephospho-CoA transport from lysosome via diffusion
R_DPHMBDCm	3-Decaprenyl-4-hydroxy-5-methoxybenzoate decarboxylation
R_DPMVDx	diphosphomevalonate decarboxylase
R_DPPS	decaprenyl synthase
R_DPROOp	D-proline oxidase, perixosomal
R_DSAT	dihydrosphingosine N-acyltransferase
R_DTDPtn	dTDP nuclear transport
R_DTMPK	dTMP kinase
R_DTTPtn	dTTP diffusion in nucleus
R_DUDPtn	dUDP nuclear transport
R_DUMPtn	dUMP nuclear transport
R_DURAD	dihydrouracil dehydrogenase (NADP)
R_DURAD2	dihydrothymin dehydrogenase (NADP)
R_DURIK1	deoxyuridine kinase (ATP:Deoxyuridine)
R_DURIK1m	deoxyuridine kinase (ATP:Deoxyuridine), mitochondrial
R_DURIPP	deoxyuridine phosphorylase
R_DURItn	deoxyuridine transport in nucleus
R_DUTPDP	dUTP diphosphatase
R_DUTPDPm	dUTP diphosphatase
R_DUTPDPn	dUTP diphosphatase, nuclear
R_EBASTINEOHtr	xenobiotic transport
R_EBASTINEtr	xenobiotic transport
R_EBP1r	3-beta-hydroxysteroid-delta(8),delta(7)-isomerase
R_EBP2r	3-beta-hydroxysteroid-delta(8),delta(7)-isomerase
R_ECGISOr	Ecgonine isomerase (ER)
R_ECOAH12m	3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria)
R_ECOAH1m	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA) (mitochondria)
R_ECOAH1x	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA) (perioxisome)
R_ECOAH9m	2-Methylprop-2-enoyl-CoA (2-Methylbut-2-enoyl-CoA), mitochondrial
R_EGMESTr	ecgonine methyl esterase (ER)
R_EHGLAT	L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase
R_EHGLAT2m	L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase 2, mitochondrial
R_EHGLATm	L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial
R_EICOSTETCPT1	carnitine O-palmitoyltransferase
R_EICOSTETCPT2	carnitine transferase
R_EICOSTETCRNt	transport into the mitochondria (carnitine)
R_ELAIDCPT1	carnitine O-palmitoyltransferase
R_ELAIDCPT2	carnitine transferase
R_ELAIDCRNt	transport into the mitochondria (carnitine)
R_ENGASE	endo-beta-N-acetylglucosaminidase
R_ENGASE2	endo-beta-N-acetylglucosaminidase
R_ENGASE2ly	endo-beta-N-acetylglucosaminidase, lysosomal
R_ENGASE3ly	endo-beta-N-acetylglucosaminidase, lysosomal
R_ENGASEly	endo-beta-N-acetylglucosaminidase, lysosomal
R_ENMAN1g	Endomannosidase (glc1man-producing), Golgi apparatus
R_ENMAN2g	Endomannosidase (glc2man-producing), Golgi apparatus
R_ENMAN3g	Endomannosidase (glc3man-producing), Golgi apparatus
R_ENMAN4g	Endomannosidase (m6masnC-producing), Golgi apparatus
R_ENMAN5g	Endomannosidase (m6masnB2-producing), Golgi apparatus
R_ENMAN6g	Endomannosidase (m5masnB1-producing), Golgi apparatus
R_EPCTX	ethanolamine-phosphate cytidylyltransferase
R_ESTRADIOLGLCtr	glucuronidated compound transport
R_ESTRADIOLtr	estradiol intracellular transport
R_ESTRIOLGLCtr	glucuronidated compound transport
R_ESTRIOLtr	estriol intracellular transport
R_ESTRONEGLCtr	glucuronidated compound transport
R_ESTRONEtr	estrone intracellular transport
R_ESTSULT	Estrogen sulfotransferase
R_ETF	electron transfer flavoprotein
R_ETFQO	Electron transfer flavoprotein-ubiquinone oxidoreductase
R_ETHAK	Ethanolamine kinase
R_ETHP	ethanolamine phosphate phosphatase
R_ETOHtx	ethanol reversible peroxisomal transport
R_F6Tg	glycoprotein 6-alpha-L-fucosyltransferase
R_FA120ACPH	fatty-acyl-ACP hydrolase
R_FA140ACPH	fatty-acyl-ACP hydrolase
R_FA141ACPH	fatty-acyl-ACP hydrolase
R_FA160ACPH	fatty-acyl-ACP hydrolase
R_FA161ACPH	fatty-acyl-ACP hydrolase
R_FA180ACPH	fatty-acyl-ACP hydrolase
R_FA1821ACPH	fatty-acyl-ACP hydrolase
R_FA1822ACPH	fatty-acyl-ACP hydrolase
R_FA182ACPH	fatty-acyl-ACP hydrolase
R_FACOAL140i	fatty-acid--CoA ligase (tetradecanoate)
R_FACOAL150	fatty-acid--CoA ligase
R_FACOAL160i	C160 fatty acid activation
R_FACOAL161	fatty-acid--CoA ligase (hexadecenoate)
R_FACOAL170	fatty-acid--CoA ligase
R_FACOAL180i	C180 fatty acid activation
R_FACOAL1813	fatty-acid--CoA ligase
R_FACOAL181i	C181 fatty acid activation
R_FACOAL1821	fatty-acid--CoA ligase
R_FACOAL1822	fatty-acid--CoA ligase
R_FACOAL1831	fatty-acid--CoA ligase
R_FACOAL1832	fatty-acid--CoA ligase
R_FACOAL184	fatty-acid--CoA ligase
R_FACOAL191	fatty-acid--CoA ligase
R_FACOAL200	fatty-acid--CoA ligase
R_FACOAL203	fatty-acid--CoA ligase
R_FACOAL204	fatty-acid--CoA ligase
R_FACOAL2042	fatty-acid--CoA ligase
R_FACOAL205	fatty-acid--CoA ligase
R_FACOAL206	fatty-acid--CoA ligase
R_FACOAL224	fatty-acid--CoA ligase
R_FACOAL2251	fatty-acid--CoA ligase
R_FACOAL2252	fatty-acid--CoA ligase
R_FACOAL226	fatty-acid--CoA ligase
R_FACOAL241	fatty-acid--CoA ligase
R_FACOAL244_1	fatty-acid--CoA ligase
R_FACOAL245_1	fatty-acid--CoA ligase
R_FACOAL245_2	fatty-acid--CoA ligase
R_FACOAL246_1	fatty-acid--CoA ligase
R_FACOAL260	fatty-acid--CoA ligase (n-C26:0)
R_FACOAL80i	fatty-acid--CoA ligase (octanoate)
R_FADDP	FAD diphosphatase
R_FADH2tru	FADH2 transporter, endoplasmic reticulum
R_FADH2tx	FADH2 transporter, peroxisomal
R_FADtru	FAD transporter, endoplasmic reticulum
R_FADtx	FAD transporter, peroxisomal
R_FAEL183	fatty-acyl-CoA elongation (n-C18:3CoA)
R_FAEL184	fatty-acyl-CoA elongation (n-C20:4CoA)
R_FAEL204	fatty-acyl-CoA elongation (n-C20:4CoA)
R_FAEL205	fatty-acyl-CoA elongation (n-C20:5CoA)
R_FAH1	Fatty acid omega-hydroxylase
R_FAH2	Fatty acid omega-hydroxylase
R_FAH3	Fatty acid omega-hydroxylase
R_FALDH	formaldehyde dehydrogenase
R_FALDtly	formaldehyde transport via diffusion (lysosomall)
R_FALDtm	formaldehyde transport via diffusion (mitochondrial)
R_FAOXC11	Beta oxidation of long chain fatty acid
R_FAOXC140	Beta oxidation of long chain fatty acid
R_FAOXC150m	Beta oxidation of long chain fatty acid (odd chain)
R_FAOXC160	Beta oxidation of long chain fatty acid
R_FAOXC16080m	Beta oxidation of long chain fatty acid
R_FAOXC16080x	Beta oxidation of long chain fatty acid
R_FAOXC161802m	Beta oxidation fatty acid
R_FAOXC16180m	Beta oxidation fatty acid
R_FAOXC170m	Beta oxidation of long chain fatty acid (odd chain)
R_FAOXC180	Beta oxidation of long chain fatty acid
R_FAOXC180x	Beta oxidation of long chain fatty acid
R_FAOXC1811601m	Beta oxidation fatty acid
R_FAOXC1811603m	Beta oxidation fatty acid
R_FAOXC182806m	Beta oxidation of fatty acid
R_FAOXC18280m	Beta oxidation of fatty acid
R_FAOXC183803m	Beta oxidation of fatty acid
R_FAOXC183806m	Beta oxidation of fatty acid
R_FAOXC183806x	Beta oxidation of long chain fatty acid
R_FAOXC18480m	Beta oxidation of fatty acid
R_FAOXC18480x	Beta oxidation of long chain fatty acid
R_FAOXC200180m	Beta oxidation of long chain fatty acid
R_FAOXC200180x	Beta oxidation of long chain fatty acid
R_FAOXC2031836m	Beta oxidation of fatty acid
R_FAOXC204	Beta oxidation of long chain fatty acid
R_FAOXC204184m	Beta oxidation fatty acid
R_FAOXC2051843m	Beta oxidation of fatty acid
R_FAOXC2051843x	Beta oxidation of long chain fatty acid
R_FAOXC2242046m	Beta oxidation of long chain fatty acid
R_FAOXC2242046x	Beta oxidation of long chain fatty acid
R_FAOXC2251836m	Beta oxidation of fatty acid
R_FAOXC2251836x	Beta oxidation of long chain fatty acid
R_FAOXC2252053m	Beta oxidation of long chain fatty acid
R_FAOXC2252053x	Beta oxidation of long chain fatty acid
R_FAOXC226	Beta oxidation of long chain fatty acid
R_FAOXC226205m	Beta oxidation of long chain fatty acid
R_FAOXC226205x	Beta oxidation of long chain fatty acid
R_FAOXC241181x	Beta oxidation of long chain fatty acid
R_FAOXC2442246x	Beta oxidation of long chain fatty acid
R_FAOXC2452253x	Beta oxidation of long chain fatty acid
R_FAOXC2452256x	Beta oxidation of long chain fatty acid
R_FAOXC246226x	Beta oxidation of long chain fatty acid
R_FAOXC80	Beta oxidation of med/long chain fatty acid
R_FAS100COA	fatty acyl-CoA synthase (n-C10:0CoA)
R_FAS120COA	fatty-acyl-CoA synthase (n-C12:0CoA)
R_FAS140COA	fatty-acyl-CoA synthase (n-C14:0CoA)
R_FAS160COA	fatty-acyl-CoA synthase (n-C16:0CoA)
R_FAS180COA	fatty-acyl-CoA synthase (n-C18:0CoA)
R_FAS80COA_L	fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction
R_FCLTm	Ferrochelatase, mitochondrial
R_FCOAH	formyl coa hydrolase
R_FDH	formate dehydrogenase
R_FE2tm	iron (II) transport
R_FKYNH	N-Formyl-L-kynurenine amidohydrolase
R_FMNAT	FMN adenylyltransferase
R_FOLR2	folate reductase
R_FORMCOAtx	formyl coa transport
R_FORt2m	formate mitochondrial transport
R_FORtr	FOR transporter, endoplasmic reticulum
R_FORtrn	Formate transport, nuclear
R_FPGS	folylpolyglutamate synthetase
R_FPGS2	folylpolyglutamate synthetase
R_FPGS2m	folylpolyglutamate synthetase, mitochondrial
R_FPGS3	folylpolyglutamate synthetase
R_FPGS3m	folylpolyglutamate synthetase, mitochondrial
R_FPGS4	folylpolyglutamate synthetase (DHF)
R_FPGS4m	folylpolyglutamate synthetase (DHF), mitochondrial
R_FPGS5	folylpolyglutamate synthetase (DHF)
R_FPGS5m	folylpolyglutamate synthetase (DHF), mitochondrial
R_FPGS6	folylpolyglutamate synthetase (DHF)
R_FPGS6m	folylpolyglutamate synthetase (DHF), mitochondrial
R_FPGS7	folylpolyglutamate synthetase (10fthf)
R_FPGS7m	folylpolyglutamate synthetase (10fthf), mitochondrial
R_FPGS8	folylpolyglutamate synthetase (10fthf)
R_FPGS8m	folylpolyglutamate synthetase (10fthf), mitochondrial
R_FPGS9	folylpolyglutamate synthetase (10fthf)
R_FPGS9m	folylpolyglutamate synthetase (10fthf), mitochondrial
R_FPGSm	folylpolyglutamate synthetase, mitochondrial
R_FRDPtc	lipid, flip-flop intracellular transport
R_FRDPtr	lipid, flip-flop intracellular transport
R_FRTT	farnesyltranstransferase
R_FT	farnesyltranstransferase (trans,trans,cis-geranylgeranyl diphosphate-generating)
R_FTCD	formimidoyltransferase cyclodeaminase
R_FTHFCL	5-formethyltetrahydrofolate cyclo-ligase
R_FTHFDH	formyltetrahydrofolate dehydrogenase
R_FTHFL	Formate-tetrahydrofolate ligase
R_FTHFLm	formate-tetrahydrofolate ligase, mitochondrial
R_FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUC14GALACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCACGALFUCGALACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCACNGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCACNGALACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCASE2ly	alpha-fucosidase, lysosomal
R_FUCASEly	alpha-fucosidase, lysosomal
R_FUCFUC12GAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCFUCGALACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCGALFUCGALACGLCGALGLUSIDEtg	blood group intracellular transport
R_FUCGALGBSIDEtg	fucgalgbside hs intracellular transport
R_FUCtly	L-fucose efflux from lysosome
R_FUMAC	fumarylacetoacetase
R_FUMSO3tm	Fumarate:sulfite antiport, mitochondrial
R_FUMSO4tm	Fumarate:sulfate antiport, mitochondrial
R_FUMtm	fumarate transport, mitochondrial
R_FUMTSULtm	Fumarate:thiosulfate antiport, mitochondrial
R_FUT11g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT12g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT14g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT15g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT16g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT17g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT18g	Galactoside 2-alpha-L-fucosyltransferase 1
R_FUT31g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1
R_FUT32g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1
R_FUT33g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1
R_FUT34g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1
R_FUT35g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1
R_FUT910g	Alpha-(1,3)-fucosyltransferase
R_FUT911g	Alpha-(1,3)-fucosyltransferase
R_FUT91g	Alpha-(1,3)-fucosyltransferase
R_FUT92g	Alpha-(1,3)-fucosyltransferase
R_FUT93g	Alpha-(1,3)-fucosyltransferase
R_FUT94g	Alpha-(1,3)-fucosyltransferase
R_FUT95g	Alpha-(1,3)-fucosyltransferase
R_FUT96g	Alpha-(1,3)-fucosyltransferase
R_FUT97g	Alpha-(1,3)-fucosyltransferase
R_FUT98g	Alpha-(1,3)-fucosyltransferase
R_FUT99g	Alpha-(1,3)-fucosyltransferase
R_G12MT1_U	Glycolipid 1,2-alpha-D-mannosyltransferase (uterus)
R_G12MT2_U	Glycolipid 1,2-alpha-D-mannosyltransferase (uterus)
R_G13MT_U	Glycolipid 1,3-alpha-D-mannosyltransferase (uterus)
R_G14T10g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T11g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T12g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T13g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T14g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T15g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T16g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T17g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T18g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T20g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T21g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T2g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T4g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T5g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T6g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T7g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T8g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14T9g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi
R_G14Tg	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase
R_G16MT_U	Glycolipid 1,6-alpha-D-mannosyltransferase (uterus)
R_G1M6MASNB1terg	g1m6masnB1 endoplasmic reticulum to Golgi transport
R_G1M7MASNBterg	g1m7masnC endoplasmic reticulum to Golgi transport
R_G1M7MASNCterg	g1m7masnC endoplasmic reticulum to Golgi transport
R_G1M8MASNterg	g1m8masn transport from endoplasmic reticulum to Golgi apparatus
R_G2M8MASNterg	g2m8masn transport from endoplasmic reticulum to Golgi apparatus
R_G3M8MASNterg	g3m8masn transport from endoplasmic reticulum to Golgi apparatus
R_G3PD1	glycerol-3-phosphate dehydrogenase (NAD)
R_G5SADrm	L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial
R_G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)
R_G5SDym	glutamate-5-semialdehyde dehydrogenase (m)
R_G6PDH1rer	glucose-6-phosphate dehydrogenase, endoplasmic reticulum
R_G6PDH2rer	glucose 6-phosphate dehydrogenase, endoplasmic reticulum
R_GACMTRc	guanidinoacetate N-methyltransferase (c)
R_GACPAILter	glucosaminyl-acylphosphatidylinositol ER flippase
R_GAL3ST11	Galactosylceramide sulfotransferase
R_GAL3ST12	Galactosylceramide sulfotransferase
R_GALACGLCGALGBSIDEtg	galacglcgalgbside hs intracellular transport
R_GALASE10ly	beta-galactosidase, lysosomal
R_GALASE11ly	beta-galactosidase, lysosomal
R_GALASE12ly	beta-galactosidase, lysosomal
R_GALASE13ly	beta-galactosidase, lysosomal
R_GALASE14ly	beta-galactosidase, lysosomal
R_GALASE15ly	beta-galactosidase, lysosomal
R_GALASE16ly	beta-galactosidase, lysosomal
R_GALASE17ly	beta-galactosidase, lysosomal
R_GALASE18ly	beta-galactosidase, lysosomal
R_GALASE19ly	beta-galactosidase, lysosomal
R_GALASE1ly	beta-galactosidase, lysosomal
R_GALASE20ly	beta-galactosidase, lysosomal
R_GALASE3ly	beta-galactosidase, lysosomal
R_GALASE4ly	beta-galactosidase, lysosomal
R_GALASE5ly	beta-galactosidase, lysosomal
R_GALASE6ly	beta-galactosidase, lysosomal
R_GALASE7ly	beta-galactosidase, lysosomal
R_GALASE8ly	beta-galactosidase, lysosomal
R_GALASE9ly	beta-galactosidase, lysosomal
R_GALC	Galactocerebrosidase
R_GALFUC12GAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg	blood group intracellular transport
R_GALGALGALTHCRMtg	galgalgalthcrm hs intracellular transport
R_GALGLUSIDEtg	galgluside hs intracellular transport
R_GALGLUSIDEtl	galgluside hs intracellular transport
R_GALGT1	Beta-1,4 N-acetylgalactosaminyltransferase
R_GALGT2	Beta-1,4 N-acetylgalactosaminyltransferase
R_GALGT3	Beta-1,4 N-acetylgalactosaminyltransferase
R_GALGT4	Beta-1,4 N-acetylgalactosaminyltransferase
R_GALK	galactokinase
R_GALNACT1g	UDPGal-chondroitin acetylgalactosaminyltransferase I, Golgi
R_GALNACT2g	uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi
R_GALNACT3g	uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi
R_GALNACT4g	uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi
R_GALNACT5g	uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi
R_GALNTg	GalNAc transferase, Golgi apparatus
R_GALSIDEtg	galactocerebroside intracellular transport
R_GALSIDEtl	galactocerebroside intracellular transport
R_GALT2g	UDP-D-galactose:galactosylxylose galactosyltransferase, Golgi apparatus
R_GALTg	UDP-D-galactose:D-xylose galactosyltransferase, Golgi apparatus
R_GALtly	galactose efflux from lysosome
R_GALU	UTP-glucose-1-phosphate uridylyltransferase
R_GAO1	Ganglioside O-acetylation
R_GAO1g	Ganglioside O-acetylation
R_GAO2	Ganglioside O-acetylation
R_GAO2g	Ganglioside O-acetylation
R_GARFT	phosphoribosylglycinamide formyltransferase
R_GASNASE2ly	glycosylasparaginase, lysosomal
R_GASNASE3ly	glycosylasparaginase, lysosomal
R_GASNASEly	glycosylasparaginase, lysosomal
R_GBA	Glucosylceramidase
R_GBAl	Glucosylceramidase
R_GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
R_GBSIDEtl	globoside intracellular transport
R_GCC2am	glycine-cleavage complex (lipoamide), mitochondrial
R_GCC2bim	glycine-cleavage system (lipoamide) irreversible, mitochondrial
R_GCC2cm	glycine-cleavage complex (lipoamide), mitochondrial
R_GCCam	glycine-cleavage complex (lipoylprotein), mitochondrial
R_GCCbim	glycine-cleavage complex (lipoylprotein) irreversible, mitochondrial
R_GCCcm	glycine-cleavage complex (lipoylprotein), mitochondrial
R_GCHOLAtx	bile acid intracellular transport
R_GCNTg	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase
R_GD1B2tg	gd1b2 hs intracellular transport
R_GD1Ctg	gd1c hs intracellular transport
R_GDPFUCtg	GDPFuc Golgi transport via CMP antiport
R_GDPtg	GDP intracellular transport
R_GGH_10FTHF5GLUl	Gamma-glutamyl hydrolase (10FTHF5GLU), lysosomal
R_GGH_10FTHF6GLUl	Gamma-glutamyl hydrolase (10FTHF6GLU), lysosomal
R_GGH_10FTHF7GLUl	Gamma-glutamyl hydrolase (10FTHF7GLU), lysosomal
R_GGH_5DHFl	Gamma-glutamyl hydrolase (5DHF), lysosomal
R_GGH_5THFl	Gamma-glutamyl hydrolase (5THF), lysosomal
R_GGH_6DHFl	Gamma-glutamyl hydrolase (6DHF), lysosomal
R_GGH_6THFl	Gamma-glutamyl hydrolase (6THF), lysosomal
R_GGH_7DHFl	Gamma-glutamyl hydrolase (7DHF), lysosomal
R_GGH_7THFl	Gamma-glutamyl hydrolase (7THF), lysosomal
R_GGT_U	geranylgeranyltransferase (uterus)
R_GGT5r	Gamma-glutamyltransferase 5
R_GGT6	Gamma-glutamyltransferase
R_GHMT2r	glycine hydroxymethyltransferase, reversible
R_GHMT2rm	glycine hydroxymethyltransferase, reversible, mitochondrial
R_GHMT3	glycine hydroxymethyltransferase
R_GHMT3m	glycine hydroxymethyltransferase, mitochondrial
R_GK1	guanylate kinase (GMP:ATP)
R_GK1m	guanylate kinase (GMP:ATP), mitochondrial
R_GLAl	galactosidase, alpha
R_GLB1	Beta-galactosidase
R_GLCAASE1ly	beta-glucuronidase, lysosomal
R_GLCAASE4ly	beta-glucuronidase, lysosomal
R_GLCAASE5ly	beta-glucuronidase, lysosomal
R_GLCAASE6ly	beta-glucuronidase, lysosomal
R_GLCAASE7ly	beta-glucuronidase, lysosomal
R_GLCAASE8ly	beta-glucuronidase, lysosomal
